root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:24:38.115508 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14152:14188, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115547 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14188:14392, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115576 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14392:14428, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115614 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14428:14632, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115642 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14632:14668, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115723 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14668:14872, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115757 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14872:14908, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115796 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 14908:15112, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115835 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15112:15148, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115888 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15148:15352, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115925 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15352:15388, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115962 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15388:15592, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115998 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15592:15628, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.116043 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15628:15832, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.116069 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15832:15868, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.116105 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 15868:16072, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.116130 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 16072:16108, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
